"","Year","County","Size.of.Holding","value"
"1534","1945","State","5-15 Acres",64223
"1535","1950","State","5-15 Acres",61982
"1536","1955","State","5-15 Acres",59066
"1537","1960","State","5-15 Acres",47476
"1538","1965","State","5-15 Acres",44889
"1539","1970","State","5-15 Acres",44014
"1540","1975","State","5-15 Acres",41261
"1541","1980","State","5-15 Acres",39467
"1542","1855","Leinster","5-15 Acres",30433
"1543","1860","Leinster","5-15 Acres",29559
"1544","1865","Leinster","5-15 Acres",28468
"1545","1870","Leinster","5-15 Acres",27466
"1546","1875","Leinster","5-15 Acres",26726
"1547","1880","Leinster","5-15 Acres",25816
"1548","1885","Leinster","5-15 Acres",25435
"1549","1890","Leinster","5-15 Acres",25461
"1550","1895","Leinster","5-15 Acres",25511
"1551","1900","Leinster","5-15 Acres",25255
"1552","1905","Leinster","5-15 Acres",25251
"1553","1910","Leinster","5-15 Acres",25072
"1554","1915","Leinster","5-15 Acres",19208
"1555","1930","Leinster","5-15 Acres",15715
"1556","1940","Leinster","5-15 Acres",14377
"1557","1945","Leinster","5-15 Acres",13572
"1558","1950","Leinster","5-15 Acres",13123
"1559","1955","Leinster","5-15 Acres",12544
"1560","1960","Leinster","5-15 Acres",10504
"1561","1965","Leinster","5-15 Acres",10439
"1562","1970","Leinster","5-15 Acres",10077
"1563","1975","Leinster","5-15 Acres",9579
"1564","1980","Leinster","5-15 Acres",9283
"1565","1855","Carlow","5-15 Acres",1079
"1566","1860","Carlow","5-15 Acres",1050
"1567","1865","Carlow","5-15 Acres",1040
"1568","1870","Carlow","5-15 Acres",989
"1569","1875","Carlow","5-15 Acres",950
"1570","1880","Carlow","5-15 Acres",872
"1571","1885","Carlow","5-15 Acres",840
"1572","1890","Carlow","5-15 Acres",869
"1573","1895","Carlow","5-15 Acres",822
"1574","1900","Carlow","5-15 Acres",817
"1575","1905","Carlow","5-15 Acres",810
"1576","1910","Carlow","5-15 Acres",850
"1577","1915","Carlow","5-15 Acres",608
"1578","1930","Carlow","5-15 Acres",574
"1579","1940","Carlow","5-15 Acres",532
"1580","1945","Carlow","5-15 Acres",488
"1581","1950","Carlow","5-15 Acres",482
"1582","1955","Carlow","5-15 Acres",444
"1583","1960","Carlow","5-15 Acres",338
"1584","1965","Carlow","5-15 Acres",392
"1585","1970","Carlow","5-15 Acres",377
"1586","1975","Carlow","5-15 Acres",363
"1587","1980","Carlow","5-15 Acres",352
"1588","1855","Dublin","5-15 Acres",1851
"1589","1860","Dublin","5-15 Acres",1801
"1590","1865","Dublin","5-15 Acres",1794
"1591","1870","Dublin","5-15 Acres",1740
"1592","1875","Dublin","5-15 Acres",1691
"1593","1880","Dublin","5-15 Acres",1699
"1594","1885","Dublin","5-15 Acres",1635
"1595","1890","Dublin","5-15 Acres",1636
"1596","1895","Dublin","5-15 Acres",1672
"1597","1900","Dublin","5-15 Acres",1628
"1598","1905","Dublin","5-15 Acres",1574
"1599","1910","Dublin","5-15 Acres",1531
"1600","1915","Dublin","5-15 Acres",1155
"1601","1930","Dublin","5-15 Acres",1012
"1602","1940","Dublin","5-15 Acres",1005
"1603","1945","Dublin","5-15 Acres",987
"1604","1950","Dublin","5-15 Acres",1031
"1605","1955","Dublin","5-15 Acres",983
"1606","1960","Dublin","5-15 Acres",915
"1607","1965","Dublin","5-15 Acres",954
"1608","1970","Dublin","5-15 Acres",823
"1609","1975","Dublin","5-15 Acres",770
"1610","1980","Dublin","5-15 Acres",701
"1611","1855","Kildare","5-15 Acres",2018
"1612","1860","Kildare","5-15 Acres",2006
"1613","1865","Kildare","5-15 Acres",1845
"1614","1870","Kildare","5-15 Acres",1785
"1615","1875","Kildare","5-15 Acres",1767
"1616","1880","Kildare","5-15 Acres",1682
"1617","1885","Kildare","5-15 Acres",1606
"1618","1890","Kildare","5-15 Acres",1572
"1619","1895","Kildare","5-15 Acres",1662
"1620","1900","Kildare","5-15 Acres",1658
"1621","1905","Kildare","5-15 Acres",1674
"1622","1910","Kildare","5-15 Acres",1702
"1623","1915","Kildare","5-15 Acres",1255
"1624","1930","Kildare","5-15 Acres",1023
"1625","1940","Kildare","5-15 Acres",1045
"1626","1945","Kildare","5-15 Acres",1009
"1627","1950","Kildare","5-15 Acres",978
"1628","1955","Kildare","5-15 Acres",951
"1629","1960","Kildare","5-15 Acres",834
"1630","1965","Kildare","5-15 Acres",849
"1631","1970","Kildare","5-15 Acres",847
"1632","1975","Kildare","5-15 Acres",871
"1633","1980","Kildare","5-15 Acres",866
"1634","1855","Kilkenny","5-15 Acres",2956
"1635","1860","Kilkenny","5-15 Acres",2866
"1636","1865","Kilkenny","5-15 Acres",2744
"1637","1870","Kilkenny","5-15 Acres",2655
"1638","1875","Kilkenny","5-15 Acres",2600
"1639","1880","Kilkenny","5-15 Acres",2508
"1640","1885","Kilkenny","5-15 Acres",2447
"1641","1890","Kilkenny","5-15 Acres",2551
"1642","1895","Kilkenny","5-15 Acres",2514
"1643","1900","Kilkenny","5-15 Acres",2492
"1644","1905","Kilkenny","5-15 Acres",2469
"1645","1910","Kilkenny","5-15 Acres",2406
"1646","1915","Kilkenny","5-15 Acres",1513
"1647","1930","Kilkenny","5-15 Acres",1127
"1648","1940","Kilkenny","5-15 Acres",947
"1649","1945","Kilkenny","5-15 Acres",869
"1650","1950","Kilkenny","5-15 Acres",803
"1651","1955","Kilkenny","5-15 Acres",760
"1652","1960","Kilkenny","5-15 Acres",641
"1653","1965","Kilkenny","5-15 Acres",637
"1654","1970","Kilkenny","5-15 Acres",627
"1655","1975","Kilkenny","5-15 Acres",593
"1656","1980","Kilkenny","5-15 Acres",575
"1657","1855","Laoghais","5-15 Acres",2879
"1658","1860","Laoghais","5-15 Acres",2864
"1659","1865","Laoghais","5-15 Acres",2760
"1660","1870","Laoghais","5-15 Acres",2650
"1661","1875","Laoghais","5-15 Acres",2530
"1662","1880","Laoghais","5-15 Acres",2431
"1663","1885","Laoghais","5-15 Acres",2382
"1664","1890","Laoghais","5-15 Acres",2357
"1665","1895","Laoghais","5-15 Acres",2308
"1666","1900","Laoghais","5-15 Acres",2238
"1667","1905","Laoghais","5-15 Acres",2186
"1668","1910","Laoghais","5-15 Acres",2179
"1669","1915","Laoghais","5-15 Acres",1648
"1670","1930","Laoghais","5-15 Acres",1377
"1671","1940","Laoghais","5-15 Acres",1245
"1672","1945","Laoghais","5-15 Acres",1120
"1673","1950","Laoghais","5-15 Acres",1102
"1674","1955","Laoghais","5-15 Acres",1027
"1675","1960","Laoghais","5-15 Acres",769
"1676","1965","Laoghais","5-15 Acres",799
"1677","1970","Laoghais","5-15 Acres",758
"1678","1975","Laoghais","5-15 Acres",698
"1679","1980","Laoghais","5-15 Acres",661
"1680","1855","Longford","5-15 Acres",2841
"1681","1860","Longford","5-15 Acres",2786
"1682","1865","Longford","5-15 Acres",2697
"1683","1870","Longford","5-15 Acres",2674
"1684","1875","Longford","5-15 Acres",2610
"1685","1880","Longford","5-15 Acres",2482
"1686","1885","Longford","5-15 Acres",2493
"1687","1890","Longford","5-15 Acres",2491
"1688","1895","Longford","5-15 Acres",2581
"1689","1900","Longford","5-15 Acres",2464
"1690","1905","Longford","5-15 Acres",2460
"1691","1910","Longford","5-15 Acres",2432
"1692","1915","Longford","5-15 Acres",2128
"1693","1930","Longford","5-15 Acres",1798
"1694","1940","Longford","5-15 Acres",1504
"1695","1945","Longford","5-15 Acres",1414
"1696","1950","Longford","5-15 Acres",1344
"1697","1955","Longford","5-15 Acres",1312
"1698","1960","Longford","5-15 Acres",1064
"1699","1965","Longford","5-15 Acres",954
"1700","1970","Longford","5-15 Acres",837
"1701","1975","Longford","5-15 Acres",812
"1702","1980","Longford","5-15 Acres",792
"1703","1855","Louth","5-15 Acres",2810
"1704","1860","Louth","5-15 Acres",2719
"1705","1865","Louth","5-15 Acres",2654
"1706","1870","Louth","5-15 Acres",2618
"1707","1875","Louth","5-15 Acres",2525
"1708","1880","Louth","5-15 Acres",2486
"1709","1885","Louth","5-15 Acres",2422
"1710","1890","Louth","5-15 Acres",2341
"1711","1895","Louth","5-15 Acres",2391
"1712","1900","Louth","5-15 Acres",2423
"1713","1905","Louth","5-15 Acres",2465
"1714","1910","Louth","5-15 Acres",2451
"1715","1915","Louth","5-15 Acres",2126
"1716","1930","Louth","5-15 Acres",1838
"1717","1940","Louth","5-15 Acres",1614
"1718","1945","Louth","5-15 Acres",1561
"1719","1950","Louth","5-15 Acres",1476
"1720","1955","Louth","5-15 Acres",1369
"1721","1960","Louth","5-15 Acres",1196
"1722","1965","Louth","5-15 Acres",1122
"1723","1970","Louth","5-15 Acres",1114
"1724","1975","Louth","5-15 Acres",1020
"1725","1980","Louth","5-15 Acres",1017
"1726","1855","Meath","5-15 Acres",2813
"1727","1860","Meath","5-15 Acres",2688
"1728","1865","Meath","5-15 Acres",2704
"1729","1870","Meath","5-15 Acres",2643
"1730","1875","Meath","5-15 Acres",2599
"1731","1880","Meath","5-15 Acres",2485
"1732","1885","Meath","5-15 Acres",2488
"1733","1890","Meath","5-15 Acres",2537
"1734","1895","Meath","5-15 Acres",2510
"1735","1900","Meath","5-15 Acres",2512
"1736","1905","Meath","5-15 Acres",2566
"1737","1910","Meath","5-15 Acres",2597
"1738","1915","Meath","5-15 Acres",2221
"1739","1930","Meath","5-15 Acres",1927
"1740","1940","Meath","5-15 Acres",1937
"1741","1945","Meath","5-15 Acres",1843
"1742","1950","Meath","5-15 Acres",1773
"1743","1955","Meath","5-15 Acres",1727
"1744","1960","Meath","5-15 Acres",1335
"1745","1965","Meath","5-15 Acres",1358
"1746","1970","Meath","5-15 Acres",1375
"1747","1975","Meath","5-15 Acres",1316
"1748","1980","Meath","5-15 Acres",1294
"1749","1855","Offaly","5-15 Acres",2961
"1750","1860","Offaly","5-15 Acres",2844
"1751","1865","Offaly","5-15 Acres",2640
"1752","1870","Offaly","5-15 Acres",2513
"1753","1875","Offaly","5-15 Acres",2439
"1754","1880","Offaly","5-15 Acres",2395
"1755","1885","Offaly","5-15 Acres",2358
"1756","1890","Offaly","5-15 Acres",2305
"1757","1895","Offaly","5-15 Acres",2308
"1758","1900","Offaly","5-15 Acres",2285
"1759","1905","Offaly","5-15 Acres",2259
"1760","1910","Offaly","5-15 Acres",2210
"1761","1915","Offaly","5-15 Acres",1658
"1762","1930","Offaly","5-15 Acres",1283
"1763","1940","Offaly","5-15 Acres",1121
"1764","1945","Offaly","5-15 Acres",1053
"1765","1950","Offaly","5-15 Acres",1004
"1766","1955","Offaly","5-15 Acres",960
"1767","1960","Offaly","5-15 Acres",798
"1768","1965","Offaly","5-15 Acres",770
"1769","1970","Offaly","5-15 Acres",796
"1770","1975","Offaly","5-15 Acres",719
"1771","1980","Offaly","5-15 Acres",694
"1772","1855","Westmeath","5-15 Acres",2810
"1773","1860","Westmeath","5-15 Acres",2753
"1774","1865","Westmeath","5-15 Acres",2592
"1775","1870","Westmeath","5-15 Acres",2510
"1776","1875","Westmeath","5-15 Acres",2484
"1777","1880","Westmeath","5-15 Acres",2451
"1778","1885","Westmeath","5-15 Acres",2390
"1779","1890","Westmeath","5-15 Acres",2408
"1780","1895","Westmeath","5-15 Acres",2398
"1781","1900","Westmeath","5-15 Acres",2367
"1782","1905","Westmeath","5-15 Acres",2389
"1783","1910","Westmeath","5-15 Acres",2319
"1784","1915","Westmeath","5-15 Acres",2009
"1785","1930","Westmeath","5-15 Acres",1459
"1786","1940","Westmeath","5-15 Acres",1211
"1787","1945","Westmeath","5-15 Acres",1152
"1788","1950","Westmeath","5-15 Acres",1105
"1789","1955","Westmeath","5-15 Acres",1045
"1790","1960","Westmeath","5-15 Acres",875
"1791","1965","Westmeath","5-15 Acres",877
"1792","1970","Westmeath","5-15 Acres",837
"1793","1975","Westmeath","5-15 Acres",789
"1794","1980","Westmeath","5-15 Acres",757
"1795","1855","Wexford","5-15 Acres",3762
"1796","1860","Wexford","5-15 Acres",3587
"1797","1865","Wexford","5-15 Acres",3442
"1798","1870","Wexford","5-15 Acres",3226
"1799","1875","Wexford","5-15 Acres",3172
"1800","1880","Wexford","5-15 Acres",3039
"1801","1885","Wexford","5-15 Acres",3037
"1802","1890","Wexford","5-15 Acres",3100
"1803","1895","Wexford","5-15 Acres",3037
"1804","1900","Wexford","5-15 Acres",3070
"1805","1905","Wexford","5-15 Acres",3095
"1806","1910","Wexford","5-15 Acres",3086
"1807","1915","Wexford","5-15 Acres",1966
"1808","1930","Wexford","5-15 Acres",1533
"1809","1940","Wexford","5-15 Acres",1473
"1810","1945","Wexford","5-15 Acres",1376
"1811","1950","Wexford","5-15 Acres",1326
"1812","1955","Wexford","5-15 Acres",1241
"1813","1960","Wexford","5-15 Acres",1099
"1814","1965","Wexford","5-15 Acres",1127
"1815","1970","Wexford","5-15 Acres",1070
"1816","1975","Wexford","5-15 Acres",1046
"1817","1980","Wexford","5-15 Acres",982
"1818","1855","Wicklow","5-15 Acres",1653
"1819","1860","Wicklow","5-15 Acres",1595
"1820","1865","Wicklow","5-15 Acres",1556
"1821","1870","Wicklow","5-15 Acres",1463
"1822","1875","Wicklow","5-15 Acres",1359
"1823","1880","Wicklow","5-15 Acres",1286
"1824","1885","Wicklow","5-15 Acres",1337
"1825","1890","Wicklow","5-15 Acres",1294
"1826","1895","Wicklow","5-15 Acres",1308
"1827","1900","Wicklow","5-15 Acres",1301
"1828","1905","Wicklow","5-15 Acres",1304
"1829","1910","Wicklow","5-15 Acres",1309
"1830","1915","Wicklow","5-15 Acres",921
"1831","1930","Wicklow","5-15 Acres",764
"1832","1940","Wicklow","5-15 Acres",743
"1833","1945","Wicklow","5-15 Acres",700
"1834","1950","Wicklow","5-15 Acres",699
"1835","1955","Wicklow","5-15 Acres",725
"1836","1960","Wicklow","5-15 Acres",640
"1837","1965","Wicklow","5-15 Acres",600
"1838","1970","Wicklow","5-15 Acres",616
"1839","1975","Wicklow","5-15 Acres",582
"1840","1980","Wicklow","5-15 Acres",592
"1841","1855","Munster","5-15 Acres",21608
"1842","1860","Munster","5-15 Acres",21805
"1843","1865","Munster","5-15 Acres",20683
"1844","1870","Munster","5-15 Acres",20352
"1845","1875","Munster","5-15 Acres",19641
"1846","1880","Munster","5-15 Acres",18986
"1847","1885","Munster","5-15 Acres",18773
"1848","1890","Munster","5-15 Acres",18913
"1849","1895","Munster","5-15 Acres",19107
"1850","1900","Munster","5-15 Acres",19349
"1851","1905","Munster","5-15 Acres",19349
"1852","1910","Munster","5-15 Acres",19692
"1853","1915","Munster","5-15 Acres",15199
"1854","1930","Munster","5-15 Acres",13284
"1855","1940","Munster","5-15 Acres",12695
"1856","1945","Munster","5-15 Acres",12320
"1857","1950","Munster","5-15 Acres",12043
"1858","1955","Munster","5-15 Acres",11625
"1859","1960","Munster","5-15 Acres",9934
"1860","1965","Munster","5-15 Acres",9497
"1861","1970","Munster","5-15 Acres",9592
"1862","1975","Munster","5-15 Acres",9075
"1863","1980","Munster","5-15 Acres",8912
"1864","1855","Clare","5-15 Acres",3464
"1865","1860","Clare","5-15 Acres",3719
"1866","1865","Clare","5-15 Acres",3401
"1867","1870","Clare","5-15 Acres",3288
"1868","1875","Clare","5-15 Acres",3269
"1869","1880","Clare","5-15 Acres",3250
"1870","1885","Clare","5-15 Acres",3032
"1871","1890","Clare","5-15 Acres",3022
"1872","1895","Clare","5-15 Acres",3169
"1873","1900","Clare","5-15 Acres",3286
"1874","1905","Clare","5-15 Acres",3313
"1875","1910","Clare","5-15 Acres",3352
"1876","1915","Clare","5-15 Acres",2679
"1877","1930","Clare","5-15 Acres",2134
"1878","1940","Clare","5-15 Acres",1932
"1879","1945","Clare","5-15 Acres",1844
"1880","1950","Clare","5-15 Acres",1784
"1881","1955","Clare","5-15 Acres",1761
"1882","1960","Clare","5-15 Acres",1247
"1883","1965","Clare","5-15 Acres",1121
"1884","1970","Clare","5-15 Acres",1186
"1885","1975","Clare","5-15 Acres",1090
"1886","1980","Clare","5-15 Acres",1108
"1887","1855","Cork","5-15 Acres",5547
"1888","1860","Cork","5-15 Acres",5576
"1889","1865","Cork","5-15 Acres",5286
"1890","1870","Cork","5-15 Acres",5160
"1891","1875","Cork","5-15 Acres",4963
"1892","1880","Cork","5-15 Acres",4612
"1893","1885","Cork","5-15 Acres",4680
"1894","1890","Cork","5-15 Acres",4593
"1895","1895","Cork","5-15 Acres",4653
"1896","1900","Cork","5-15 Acres",4750
"1897","1905","Cork","5-15 Acres",4755
"1898","1910","Cork","5-15 Acres",4743
"1899","1915","Cork","5-15 Acres",3786
"1900","1930","Cork","5-15 Acres",3288
"1901","1940","Cork","5-15 Acres",3215
"1902","1945","Cork","5-15 Acres",3144
"1903","1950","Cork","5-15 Acres",3140
"1904","1955","Cork","5-15 Acres",2901
"1905","1960","Cork","5-15 Acres",2610
"1906","1965","Cork","5-15 Acres",2535
"1907","1970","Cork","5-15 Acres",2560
"1908","1975","Cork","5-15 Acres",2418
"1909","1980","Cork","5-15 Acres",2361
"1910","1855","Kerry","5-15 Acres",2547
"1911","1860","Kerry","5-15 Acres",2640
"1912","1865","Kerry","5-15 Acres",2661
"1913","1870","Kerry","5-15 Acres",2846
"1914","1875","Kerry","5-15 Acres",2636
"1915","1880","Kerry","5-15 Acres",2689
"1916","1885","Kerry","5-15 Acres",2867
"1917","1890","Kerry","5-15 Acres",2960
"1918","1895","Kerry","5-15 Acres",3128
"1919","1900","Kerry","5-15 Acres",3176
"1920","1905","Kerry","5-15 Acres",3141
"1921","1910","Kerry","5-15 Acres",3336
"1922","1915","Kerry","5-15 Acres",2920
"1923","1930","Kerry","5-15 Acres",2972
"1924","1940","Kerry","5-15 Acres",2949
"1925","1945","Kerry","5-15 Acres",2920
"1926","1950","Kerry","5-15 Acres",2920
"1927","1955","Kerry","5-15 Acres",2910
"1928","1960","Kerry","5-15 Acres",2640
"1929","1965","Kerry","5-15 Acres",2556
"1930","1970","Kerry","5-15 Acres",2583
"1931","1975","Kerry","5-15 Acres",2472
"1932","1980","Kerry","5-15 Acres",2404
"1933","1855","Limerick","5-15 Acres",2824
"1934","1860","Limerick","5-15 Acres",2785
"1935","1865","Limerick","5-15 Acres",2738
"1936","1870","Limerick","5-15 Acres",2543
"1937","1875","Limerick","5-15 Acres",2589
"1938","1880","Limerick","5-15 Acres",2484
"1939","1885","Limerick","5-15 Acres",2339
"1940","1890","Limerick","5-15 Acres",2418
"1941","1895","Limerick","5-15 Acres",2315
"1942","1900","Limerick","5-15 Acres",2297
"1943","1905","Limerick","5-15 Acres",2372
"1944","1910","Limerick","5-15 Acres",2457
"1945","1915","Limerick","5-15 Acres",2024
"1946","1930","Limerick","5-15 Acres",1808
"1947","1940","Limerick","5-15 Acres",1656
"1948","1945","Limerick","5-15 Acres",1599
"1949","1950","Limerick","5-15 Acres",1562
"1950","1955","Limerick","5-15 Acres",1519
"1951","1960","Limerick","5-15 Acres",1323
"1952","1965","Limerick","5-15 Acres",1319
"1953","1970","Limerick","5-15 Acres",1318
"1954","1975","Limerick","5-15 Acres",1235
"1955","1980","Limerick","5-15 Acres",1226
"1956","1855","Tipperary","5-15 Acres",5523
"1957","1860","Tipperary","5-15 Acres",5417
"1958","1865","Tipperary","5-15 Acres",5106
"1959","1870","Tipperary","5-15 Acres",5014
"1960","1875","Tipperary","5-15 Acres",4754
"1961","1880","Tipperary","5-15 Acres",4552
"1962","1885","Tipperary","5-15 Acres",4444
"1963","1890","Tipperary","5-15 Acres",4470
"1964","1895","Tipperary","5-15 Acres",4396
"1965","1900","Tipperary","5-15 Acres",4413
"1966","1905","Tipperary","5-15 Acres",4359
"1967","1910","Tipperary","5-15 Acres",4321
"1968","1915","Tipperary","5-15 Acres",2848
"1969","1930","Tipperary","5-15 Acres",2278
"1970","1940","Tipperary","5-15 Acres",2203
"1971","1945","Tipperary","5-15 Acres",2100
"1972","1950","Tipperary","5-15 Acres",1952
"1973","1955","Tipperary","5-15 Acres",1872
"1974","1960","Tipperary","5-15 Acres",1516
"1975","1965","Tipperary","5-15 Acres",1430
"1976","1970","Tipperary","5-15 Acres",1402
"1977","1975","Tipperary","5-15 Acres",1352
"1978","1980","Tipperary","5-15 Acres",1308
"1979","1855","Tipperary NR","5-15 Acres",NA
"1980","1860","Tipperary NR","5-15 Acres",NA
"1981","1865","Tipperary NR","5-15 Acres",NA
"1982","1870","Tipperary NR","5-15 Acres",NA
"1983","1875","Tipperary NR","5-15 Acres",NA
"1984","1880","Tipperary NR","5-15 Acres",NA
"1985","1885","Tipperary NR","5-15 Acres",NA
"1986","1890","Tipperary NR","5-15 Acres",NA
"1987","1895","Tipperary NR","5-15 Acres",NA
"1988","1900","Tipperary NR","5-15 Acres",NA
"1989","1905","Tipperary NR","5-15 Acres",NA
"1990","1910","Tipperary NR","5-15 Acres",NA
"1991","1915","Tipperary NR","5-15 Acres",NA
"1992","1930","Tipperary NR","5-15 Acres",NA
"1993","1940","Tipperary NR","5-15 Acres",NA
"1994","1945","Tipperary NR","5-15 Acres",NA
"1995","1950","Tipperary NR","5-15 Acres",NA
"1996","1955","Tipperary NR","5-15 Acres",NA
"1997","1960","Tipperary NR","5-15 Acres",NA
"1998","1965","Tipperary NR","5-15 Acres",680
"1999","1970","Tipperary NR","5-15 Acres",672
"2000","1975","Tipperary NR","5-15 Acres",659
"2001","1980","Tipperary NR","5-15 Acres",636
"2002","1855","Tipperary SR","5-15 Acres",NA
"2003","1860","Tipperary SR","5-15 Acres",NA
"2004","1865","Tipperary SR","5-15 Acres",NA
"2005","1870","Tipperary SR","5-15 Acres",NA
"2006","1875","Tipperary SR","5-15 Acres",NA
"2007","1880","Tipperary SR","5-15 Acres",NA
"2008","1885","Tipperary SR","5-15 Acres",NA
"2009","1890","Tipperary SR","5-15 Acres",NA
"2010","1895","Tipperary SR","5-15 Acres",NA
"2011","1900","Tipperary SR","5-15 Acres",NA
"2012","1905","Tipperary SR","5-15 Acres",NA
"2013","1910","Tipperary SR","5-15 Acres",NA
"2014","1915","Tipperary SR","5-15 Acres",NA
"2015","1930","Tipperary SR","5-15 Acres",NA
"2016","1940","Tipperary SR","5-15 Acres",NA
"2017","1945","Tipperary SR","5-15 Acres",NA
"2018","1950","Tipperary SR","5-15 Acres",NA
"2019","1955","Tipperary SR","5-15 Acres",NA
"2020","1960","Tipperary SR","5-15 Acres",NA
"2021","1965","Tipperary SR","5-15 Acres",750
"2022","1970","Tipperary SR","5-15 Acres",730
"2023","1975","Tipperary SR","5-15 Acres",693
"2024","1980","Tipperary SR","5-15 Acres",672
"2025","1855","Waterford","5-15 Acres",1703
"2026","1860","Waterford","5-15 Acres",1668
"2027","1865","Waterford","5-15 Acres",1491
"2028","1870","Waterford","5-15 Acres",1501
"2029","1875","Waterford","5-15 Acres",1430
"2030","1880","Waterford","5-15 Acres",1399
"2031","1885","Waterford","5-15 Acres",1411
"2032","1890","Waterford","5-15 Acres",1450
"2033","1895","Waterford","5-15 Acres",1446
"2034","1900","Waterford","5-15 Acres",1427
"2035","1905","Waterford","5-15 Acres",1409
"2036","1910","Waterford","5-15 Acres",1483
"2037","1915","Waterford","5-15 Acres",942
"2038","1930","Waterford","5-15 Acres",804
"2039","1940","Waterford","5-15 Acres",740
"2040","1945","Waterford","5-15 Acres",713
"2041","1950","Waterford","5-15 Acres",685
"2042","1955","Waterford","5-15 Acres",662
"2043","1960","Waterford","5-15 Acres",598
"2044","1965","Waterford","5-15 Acres",536
"2045","1970","Waterford","5-15 Acres",543
"2046","1975","Waterford","5-15 Acres",508
"2047","1980","Waterford","5-15 Acres",505
"2048","1855","Connacht","5-15 Acres",46152
"2049","1860","Connacht","5-15 Acres",48763
"2050","1865","Connacht","5-15 Acres",48626
"2051","1870","Connacht","5-15 Acres",49140
"2052","1875","Connacht","5-15 Acres",49364
"2053","1880","Connacht","5-15 Acres",48262
"2054","1885","Connacht","5-15 Acres",46418
"2055","1890","Connacht","5-15 Acres",45965
"2056","1895","Connacht","5-15 Acres",46690
"2057","1900","Connacht","5-15 Acres",46592
"2058","1905","Connacht","5-15 Acres",46827
"2059","1910","Connacht","5-15 Acres",46458
"2060","1915","Connacht","5-15 Acres",39711
"2061","1930","Connacht","5-15 Acres",29351
"2062","1940","Connacht","5-15 Acres",25520
"2063","1945","Connacht","5-15 Acres",24303
"2064","1950","Connacht","5-15 Acres",23402
"2065","1955","Connacht","5-15 Acres",22199
"2066","1960","Connacht","5-15 Acres",16568
"2067","1965","Connacht","5-15 Acres",15339
"2068","1970","Connacht","5-15 Acres",14971
"2069","1975","Connacht","5-15 Acres",13798
"2070","1980","Connacht","5-15 Acres",12888
"2071","1855","Galway","5-15 Acres",11675
"2072","1860","Galway","5-15 Acres",12670
"2073","1865","Galway","5-15 Acres",12882
"2074","1870","Galway","5-15 Acres",12758
"2075","1875","Galway","5-15 Acres",12894
"2076","1880","Galway","5-15 Acres",12765
"2077","1885","Galway","5-15 Acres",12184
"2078","1890","Galway","5-15 Acres",12088
"2079","1895","Galway","5-15 Acres",12270
"2080","1900","Galway","5-15 Acres",11951
"2081","1905","Galway","5-15 Acres",12181
"2082","1910","Galway","5-15 Acres",12221
"2083","1915","Galway","5-15 Acres",9770
"2084","1930","Galway","5-15 Acres",6873
"2085","1940","Galway","5-15 Acres",5673
"2086","1945","Galway","5-15 Acres",5473
"2087","1950","Galway","5-15 Acres",5349
"2088","1955","Galway","5-15 Acres",5119
"2089","1960","Galway","5-15 Acres",4019
"2090","1965","Galway","5-15 Acres",4061
"2091","1970","Galway","5-15 Acres",4156
"2092","1975","Galway","5-15 Acres",3885
"2093","1980","Galway","5-15 Acres",3807
"2094","1855","Leitrim","5-15 Acres",5858
"2095","1860","Leitrim","5-15 Acres",6149
"2096","1865","Leitrim","5-15 Acres",5914
"2097","1870","Leitrim","5-15 Acres",5749
"2098","1875","Leitrim","5-15 Acres",5656
"2099","1880","Leitrim","5-15 Acres",5439
"2100","1885","Leitrim","5-15 Acres",5178
"2101","1890","Leitrim","5-15 Acres",5044
"2102","1895","Leitrim","5-15 Acres",5214
"2103","1900","Leitrim","5-15 Acres",5154
"2104","1905","Leitrim","5-15 Acres",5166
"2105","1910","Leitrim","5-15 Acres",5165
"2106","1915","Leitrim","5-15 Acres",4190
"2107","1930","Leitrim","5-15 Acres",3207
"2108","1940","Leitrim","5-15 Acres",2867
"2109","1945","Leitrim","5-15 Acres",2653
"2110","1950","Leitrim","5-15 Acres",2484
"2111","1955","Leitrim","5-15 Acres",2312
"2112","1960","Leitrim","5-15 Acres",1785
"2113","1965","Leitrim","5-15 Acres",1457
"2114","1970","Leitrim","5-15 Acres",1381
"2115","1975","Leitrim","5-15 Acres",1278
"2116","1980","Leitrim","5-15 Acres",1184
"2117","1855","Mayo","5-15 Acres",13927
"2118","1860","Mayo","5-15 Acres",14849
"2119","1865","Mayo","5-15 Acres",15238
"2120","1870","Mayo","5-15 Acres",15856
"2121","1875","Mayo","5-15 Acres",16068
"2122","1880","Mayo","5-15 Acres",15642
"2123","1885","Mayo","5-15 Acres",15027
"2124","1890","Mayo","5-15 Acres",15104
"2125","1895","Mayo","5-15 Acres",15256
"2126","1900","Mayo","5-15 Acres",15180
"2127","1905","Mayo","5-15 Acres",15428
"2128","1910","Mayo","5-15 Acres",15112
"2129","1915","Mayo","5-15 Acres",13731
"2130","1930","Mayo","5-15 Acres",10875
"2131","1940","Mayo","5-15 Acres",9802
"2132","1945","Mayo","5-15 Acres",9421
"2133","1950","Mayo","5-15 Acres",9041
"2134","1955","Mayo","5-15 Acres",8542
"2135","1960","Mayo","5-15 Acres",6671
"2136","1965","Mayo","5-15 Acres",6046
"2137","1970","Mayo","5-15 Acres",5802
"2138","1975","Mayo","5-15 Acres",5387
"2139","1980","Mayo","5-15 Acres",4870
