"","Year","Statistic","value"
"1","1990","All Livestock (Euro Million)",2201.88
"2","1991","All Livestock (Euro Million)",2114.03
"3","1992","All Livestock (Euro Million)",2262.5
"4","1993","All Livestock (Euro Million)",2449.56
"5","1994","All Livestock (Euro Million)",2319.25
"6","1995","All Livestock (Euro Million)",2349.12
"7","1996","All Livestock (Euro Million)",2318.2
"8","1997","All Livestock (Euro Million)",2205.52
"9","1998","All Livestock (Euro Million)",2152.48
"10","1999","All Livestock (Euro Million)",2067.86
"11","2000","All Livestock (Euro Million)",2170.64
"12","2001","All Livestock (Euro Million)",2175.08
"13","2002","All Livestock (Euro Million)",2014.84
"14","2003","All Livestock (Euro Million)",2065.39
"15","2004","All Livestock (Euro Million)",2212.82
"16","2005","All Livestock (Euro Million)",2273.82
"17","2006","All Livestock (Euro Million)",2386.75
"18","2007","All Livestock (Euro Million)",2378.73
"19","2008","All Livestock (Euro Million)",2541.65
"20","2009","All Livestock (Euro Million)",2222.81
"21","2010","All Livestock (Euro Million)",2264.54
"22","2011","All Livestock (Euro Million)",2645.83
"23","2012","All Livestock (Euro Million)",3093.01
"24","2013","All Livestock (Euro Million)",3158.75
"25","1990","Livestock - Cattle (Euro Million)",1575.62
"26","1991","Livestock - Cattle (Euro Million)",1477.35
"27","1992","Livestock - Cattle (Euro Million)",1603.46
"28","1993","Livestock - Cattle (Euro Million)",1758.73
"29","1994","Livestock - Cattle (Euro Million)",1613.95
"30","1995","Livestock - Cattle (Euro Million)",1659.08
"31","1996","Livestock - Cattle (Euro Million)",1482.66
"32","1997","Livestock - Cattle (Euro Million)",1382.6
"33","1998","Livestock - Cattle (Euro Million)",1385
"34","1999","Livestock - Cattle (Euro Million)",1330.73
"35","2000","Livestock - Cattle (Euro Million)",1382.12
"36","2001","Livestock - Cattle (Euro Million)",1260.31
"37","2002","Livestock - Cattle (Euro Million)",1179.01
"38","2003","Livestock - Cattle (Euro Million)",1243.98
"39","2004","Livestock - Cattle (Euro Million)",1346.11
"40","2005","Livestock - Cattle (Euro Million)",1406.18
"41","2006","Livestock - Cattle (Euro Million)",1494.46
"42","2007","Livestock - Cattle (Euro Million)",1503.45
"43","2008","Livestock - Cattle (Euro Million)",1686.54
"44","2009","Livestock - Cattle (Euro Million)",1475.57
"45","2010","Livestock - Cattle (Euro Million)",1502.28
"46","2011","Livestock - Cattle (Euro Million)",1795.09
"47","2012","Livestock - Cattle (Euro Million)",2119.47
"48","2013","Livestock - Cattle (Euro Million)",2156.51
"49","1990","Livestock - Pigs (Euro Million)",237.22
"50","1991","Livestock - Pigs (Euro Million)",242.06
"51","1992","Livestock - Pigs (Euro Million)",280.39
"52","1993","Livestock - Pigs (Euro Million)",257.92
"53","1994","Livestock - Pigs (Euro Million)",264.52
"54","1995","Livestock - Pigs (Euro Million)",295.45
"55","1996","Livestock - Pigs (Euro Million)",356.54
"56","1997","Livestock - Pigs (Euro Million)",336.97
"57","1998","Livestock - Pigs (Euro Million)",282.6
"58","1999","Livestock - Pigs (Euro Million)",251.36
"59","2000","Livestock - Pigs (Euro Million)",296.66
"60","2001","Livestock - Pigs (Euro Million)",346.13
"61","2002","Livestock - Pigs (Euro Million)",300.86
"62","2003","Livestock - Pigs (Euro Million)",285.14
"63","2004","Livestock - Pigs (Euro Million)",297.46
"64","2005","Livestock - Pigs (Euro Million)",292.94
"65","2006","Livestock - Pigs (Euro Million)",321.47
"66","2007","Livestock - Pigs (Euro Million)",288.58
"67","2008","Livestock - Pigs (Euro Million)",330.12
"68","2009","Livestock - Pigs (Euro Million)",299.99
"69","2010","Livestock - Pigs (Euro Million)",333.67
"70","2011","Livestock - Pigs (Euro Million)",394.24
"71","2012","Livestock - Pigs (Euro Million)",441.53
