"","Year","Statistic","value"
"1","1990","Value of All Stock Change (Euro Million)",102.2
"2","1991","Value of All Stock Change (Euro Million)",28.12
"3","1992","Value of All Stock Change (Euro Million)",100.97
"4","1993","Value of All Stock Change (Euro Million)",-13.28
"5","1994","Value of All Stock Change (Euro Million)",59.16
"6","1995","Value of All Stock Change (Euro Million)",65.49
"7","1996","Value of All Stock Change (Euro Million)",124.58
"8","1997","Value of All Stock Change (Euro Million)",119.6
"9","1998","Value of All Stock Change (Euro Million)",43.33
"10","1999","Value of All Stock Change (Euro Million)",-178.51
"11","2000","Value of All Stock Change (Euro Million)",-150.96
"12","2001","Value of All Stock Change (Euro Million)",-13.87
"13","2002","Value of All Stock Change (Euro Million)",-42.63
"14","2003","Value of All Stock Change (Euro Million)",-41.83
"15","2004","Value of All Stock Change (Euro Million)",-19.21
"16","2005","Value of All Stock Change (Euro Million)",-14.79
"17","2006","Value of All Stock Change (Euro Million)",-122.68
"18","2007","Value of All Stock Change (Euro Million)",-92.72
"19","2008","Value of All Stock Change (Euro Million)",21.49
"20","2009","Value of All Stock Change (Euro Million)",-12.28
"21","2010","Value of All Stock Change (Euro Million)",-163.34
"22","2011","Value of All Stock Change (Euro Million)",-44.51
"23","2012","Value of All Stock Change (Euro Million)",193.24
"24","2013","Value of All Stock Change (Euro Million)",121.07
"25","1990","Value of Cattle Stock Change (Euro Million)",83.51
"26","1991","Value of Cattle Stock Change (Euro Million)",20
"27","1992","Value of Cattle Stock Change (Euro Million)",88.71
"28","1993","Value of Cattle Stock Change (Euro Million)",1.45
"29","1994","Value of Cattle Stock Change (Euro Million)",61.08
"30","1995","Value of Cattle Stock Change (Euro Million)",68.04
"31","1996","Value of Cattle Stock Change (Euro Million)",121.56
"32","1997","Value of Cattle Stock Change (Euro Million)",112.99
"33","1998","Value of Cattle Stock Change (Euro Million)",50.87
"34","1999","Value of Cattle Stock Change (Euro Million)",-172.79
"35","2000","Value of Cattle Stock Change (Euro Million)",-130.94
"36","2001","Value of Cattle Stock Change (Euro Million)",-5.03
"37","2002","Value of Cattle Stock Change (Euro Million)",-32.52
"38","2003","Value of Cattle Stock Change (Euro Million)",-48.12
"39","2004","Value of Cattle Stock Change (Euro Million)",-9.8
"40","2005","Value of Cattle Stock Change (Euro Million)",19.29
"41","2006","Value of Cattle Stock Change (Euro Million)",-99.47
"42","2007","Value of Cattle Stock Change (Euro Million)",-59.46
"43","2008","Value of Cattle Stock Change (Euro Million)",24.91
"44","2009","Value of Cattle Stock Change (Euro Million)",-0.78
"45","2010","Value of Cattle Stock Change (Euro Million)",-156.54
"46","2011","Value of Cattle Stock Change (Euro Million)",-64.8
"47","2012","Value of Cattle Stock Change (Euro Million)",209.3
"48","2013","Value of Cattle Stock Change (Euro Million)",109.53
"49","1990","Value of Pigs Stock Change (Euro Million)",7.64
"50","1991","Value of Pigs Stock Change (Euro Million)",5.22
"51","1992","Value of Pigs Stock Change (Euro Million)",4.53
"52","1993","Value of Pigs Stock Change (Euro Million)",2.47
"53","1994","Value of Pigs Stock Change (Euro Million)",0.4
"54","1995","Value of Pigs Stock Change (Euro Million)",4.29
"55","1996","Value of Pigs Stock Change (Euro Million)",8.12
"56","1997","Value of Pigs Stock Change (Euro Million)",1.99
"57","1998","Value of Pigs Stock Change (Euro Million)",4.51
"58","1999","Value of Pigs Stock Change (Euro Million)",-1.89
"59","2000","Value of Pigs Stock Change (Euro Million)",1.31
"60","2001","Value of Pigs Stock Change (Euro Million)",2.02
"61","2002","Value of Pigs Stock Change (Euro Million)",0.56
"62","2003","Value of Pigs Stock Change (Euro Million)",-1.23
"63","2004","Value of Pigs Stock Change (Euro Million)",-0.49
"64","2005","Value of Pigs Stock Change (Euro Million)",-3.05
"65","2006","Value of Pigs Stock Change (Euro Million)",1.59
"66","2007","Value of Pigs Stock Change (Euro Million)",-6.49
"67","2008","Value of Pigs Stock Change (Euro Million)",1.96
"68","2009","Value of Pigs Stock Change (Euro Million)",1.14
"69","2010","Value of Pigs Stock Change (Euro Million)",-0.51
"70","2011","Value of Pigs Stock Change (Euro Million)",-0.1
"71","2012","Value of Pigs Stock Change (Euro Million)",-1.71
"72","2013","Value of Pigs Stock Change (Euro Million)",-1.64
"73","1990","Value of Sheep Stock Change (Euro Million)",10.43
"74","1991","Value of Sheep Stock Change (Euro Million)",4.63
"75","1992","Value of Sheep Stock Change (Euro Million)",6.25
"76","1993","Value of Sheep Stock Change (Euro Million)",-7.17
"77","1994","Value of Sheep Stock Change (Euro Million)",-9.47
"78","1995","Value of Sheep Stock Change (Euro Million)",-9.35
"79","1996","Value of Sheep Stock Change (Euro Million)",-8.71
"80","1997","Value of Sheep Stock Change (Euro Million)",8.34
"81","1998","Value of Sheep Stock Change (Euro Million)",-1.26
"82","1999","Value of Sheep Stock Change (Euro Million)",-10.18
"83","2000","Value of Sheep Stock Change (Euro Million)",-11.97
"84","2001","Value of Sheep Stock Change (Euro Million)",-15.32
"85","2002","Value of Sheep Stock Change (Euro Million)",-2.31
"86","2003","Value of Sheep Stock Change (Euro Million)",-0.93
"87","2004","Value of Sheep Stock Change (Euro Million)",-16.22
"88","2005","Value of Sheep Stock Change (Euro Million)",-17.09
"89","2006","Value of Sheep Stock Change (Euro Million)",-21.2
"90","2007","Value of Sheep Stock Change (Euro Million)",-18.05
"91","2008","Value of Sheep Stock Change (Euro Million)",-7.89
"92","2009","Value of Sheep Stock Change (Euro Million)",-13.66
"93","2010","Value of Sheep Stock Change (Euro Million)",-3.08
"94","2011","Value of Sheep Stock Change (Euro Million)",12.54
"95","2012","Value of Sheep Stock Change (Euro Million)",6.27
"96","2013","Value of Sheep Stock Change (Euro Million)",-9.66
"97","1990","Value of Poultry Stock Change (Euro Million)",3.29
"98","1991","Value of Poultry Stock Change (Euro Million)",3.33
"99","1992","Value of Poultry Stock Change (Euro Million)",-0.28
"100","1993","Value of Poultry Stock Change (Euro Million)",-0.96
"101","1994","Value of Poultry Stock Change (Euro Million)",7.8
