"","Year","Statistic","value"
"1","1990","All Subsidies on Products (Euro Million)",408.9
"2","1991","All Subsidies on Products (Euro Million)",357.3
"3","1992","All Subsidies on Products (Euro Million)",446
"4","1993","All Subsidies on Products (Euro Million)",466.4
"5","1994","All Subsidies on Products (Euro Million)",666
"6","1995","All Subsidies on Products (Euro Million)",735.5
"7","1996","All Subsidies on Products (Euro Million)",806
"8","1997","All Subsidies on Products (Euro Million)",808.7
"9","1998","All Subsidies on Products (Euro Million)",899.6
"10","1999","All Subsidies on Products (Euro Million)",743.7
"11","2000","All Subsidies on Products (Euro Million)",876.7
"12","2001","All Subsidies on Products (Euro Million)",710.8
"13","2002","All Subsidies on Products (Euro Million)",904.1
"14","2003","All Subsidies on Products (Euro Million)",928.4
"15","2004","All Subsidies on Products (Euro Million)",912.1
"16","2005","All Subsidies on Products (Euro Million)",453.44
"17","2006","All Subsidies on Products (Euro Million)",3.78
"18","2007","All Subsidies on Products (Euro Million)",0.7
"19","2008","All Subsidies on Products (Euro Million)",32.38
"20","2009","All Subsidies on Products (Euro Million)",29.98
"21","2010","All Subsidies on Products (Euro Million)",31.84
"22","2011","All Subsidies on Products (Euro Million)",31.04
"23","2012","All Subsidies on Products (Euro Million)",28.54
"24","2013","All Subsidies on Products (Euro Million)",9.35
"25","1990","Subsidies on Products - Cattle (Euro Million)",209.4
"26","1991","Subsidies on Products - Cattle (Euro Million)",179.5
"27","1992","Subsidies on Products - Cattle (Euro Million)",273.1
"28","1993","Subsidies on Products - Cattle (Euro Million)",219.8
"29","1994","Subsidies on Products - Cattle (Euro Million)",414.2
"30","1995","Subsidies on Products - Cattle (Euro Million)",481.6
"31","1996","Subsidies on Products - Cattle (Euro Million)",530.2
"32","1997","Subsidies on Products - Cattle (Euro Million)",570.8
"33","1998","Subsidies on Products - Cattle (Euro Million)",623.5
"34","1999","Subsidies on Products - Cattle (Euro Million)",460.2
"35","2000","Subsidies on Products - Cattle (Euro Million)",632.7
"36","2001","Subsidies on Products - Cattle (Euro Million)",512.6
"37","2002","Subsidies on Products - Cattle (Euro Million)",675.7
"38","2003","Subsidies on Products - Cattle (Euro Million)",695
"39","2004","Subsidies on Products - Cattle (Euro Million)",625.5
"40","2005","Subsidies on Products - Cattle (Euro Million)",438.84
"41","2006","Subsidies on Products - Cattle (Euro Million)",3.42
"42","2007","Subsidies on Products - Cattle (Euro Million)",0.57
"43","2008","Subsidies on Products - Cattle (Euro Million)",32.28
"44","2009","Subsidies on Products - Cattle (Euro Million)",29.9
"45","2010","Subsidies on Products - Cattle (Euro Million)",31.64
"46","2011","Subsidies on Products - Cattle (Euro Million)",30.79
"47","2012","Subsidies on Products - Cattle (Euro Million)",28.52
"48","2013","Subsidies on Products - Cattle (Euro Million)",9.35
"49","1990","Subsidies on Products - Sheep (Euro Million)",199.1
"50","1991","Subsidies on Products - Sheep (Euro Million)",176.9
"51","1992","Subsidies on Products - Sheep (Euro Million)",170.6
"52","1993","Subsidies on Products - Sheep (Euro Million)",186.4
"53","1994","Subsidies on Products - Sheep (Euro Million)",175.4
"54","1995","Subsidies on Products - Sheep (Euro Million)",163
"55","1996","Subsidies on Products - Sheep (Euro Million)",172.4
"56","1997","Subsidies on Products - Sheep (Euro Million)",123.9
"57","1998","Subsidies on Products - Sheep (Euro Million)",148.3
"58","1999","Subsidies on Products - Sheep (Euro Million)",155.3
"59","2000","Subsidies on Products - Sheep (Euro Million)",133.6
"60","2001","Subsidies on Products - Sheep (Euro Million)",82
"61","2002","Subsidies on Products - Sheep (Euro Million)",108.3
"62","2003","Subsidies on Products - Sheep (Euro Million)",109.3
"63","2004","Subsidies on Products - Sheep (Euro Million)",106.6
"64","2005","Subsidies on Products - Sheep (Euro Million)",11.45
"65","2006","Subsidies on Products - Sheep (Euro Million)",0.19
"66","2007","Subsidies on Products - Sheep (Euro Million)",0
"67","2008","Subsidies on Products - Sheep (Euro Million)",0
"68","2009","Subsidies on Products - Sheep (Euro Million)",0
"69","2010","Subsidies on Products - Sheep (Euro Million)",0
"70","2011","Subsidies on Products - Sheep (Euro Million)",0
"71","2012","Subsidies on Products - Sheep (Euro Million)",0
"72","2013","Subsidies on Products - Sheep (Euro Million)",0
"73","1990","Subsidies on Products - Cereals (Euro Million)",0
"74","1991","Subsidies on Products - Cereals (Euro Million)",0
"75","1992","Subsidies on Products - Cereals (Euro Million)",0
"76","1993","Subsidies on Products - Cereals (Euro Million)",48.5
"77","1994","Subsidies on Products - Cereals (Euro Million)",71.2
"78","1995","Subsidies on Products - Cereals (Euro Million)",85.9
"79","1996","Subsidies on Products - Cereals (Euro Million)",97.9
"80","1997","Subsidies on Products - Cereals (Euro Million)",106.7
"81","1998","Subsidies on Products - Cereals (Euro Million)",100.4
"82","1999","Subsidies on Products - Cereals (Euro Million)",94.6
"83","2000","Subsidies on Products - Cereals (Euro Million)",99.7
"84","2001","Subsidies on Products - Cereals (Euro Million)",108.4
"85","2002","Subsidies on Products - Cereals (Euro Million)",112.4
"86","2003","Subsidies on Products - Cereals (Euro Million)",116.3
"87","2004","Subsidies on Products - Cereals (Euro Million)",112.2
"88","2005","Subsidies on Products - Cereals (Euro Million)",1.78
"89","2006","Subsidies on Products - Cereals (Euro Million)",0.04
"90","2007","Subsidies on Products - Cereals (Euro Million)",0
"91","2008","Subsidies on Products - Cereals (Euro Million)",0
"92","2009","Subsidies on Products - Cereals (Euro Million)",0
"93","2010","Subsidies on Products - Cereals (Euro Million)",0.18
"94","2011","Subsidies on Products - Cereals (Euro Million)",0.23
"95","2012","Subsidies on Products - Cereals (Euro Million)",0.01
"96","2013","Subsidies on Products - Cereals (Euro Million)",0
"97","1990","Other Subsidies on Products (excluding Cattle, Sheep and Cereals) (Euro Million)",0
"98","1991","Other Subsidies on Products (excluding Cattle, Sheep and Cereals) (Euro Million)",0.2
"99","1992","Other Subsidies on Products (excluding Cattle, Sheep and Cereals) (Euro Million)",1.4
"100","1993","Other Subsidies on Products (excluding Cattle, Sheep and Cereals) (Euro Million)",10.5
"101","1994","Other Subsidies on Products (excluding Cattle, Sheep and Cereals) (Euro Million)",4.3
"102","1995","Other Subsidies on Products (excluding Cattle, Sheep and Cereals) (Euro Million)",4.6
"103","1996","Other Subsidies on Products (excluding Cattle, Sheep and Cereals) (Euro Million)",4.2
"104","1997","Other Subsidies on Products (excluding Cattle, Sheep and Cereals) (Euro Million)",7
"105","1998","Other Subsidies on Products (excluding Cattle, Sheep and Cereals) (Euro Million)",26.6
"106","1999","Other Subsidies on Products (excluding Cattle, Sheep and Cereals) (Euro Million)",32.1
